topic,name,solution
Films,The Unbeliever (1918),"A wealthy young American, bred to class distinction and racial intolerance, enters the Marines during the First World War. In the course of his training and his experiences in the trenches fighting, being wounded by, and being hospitalized with Germans, he comes to a recognition of the equality and brotherhood of men."
Films,Vultures (2018),"Sharp-suited Erik represents the aspirational face of modern Iceland. Atli, a petty criminal just released from prison, is stuck in a downward spiral. The distance between these two very different brothers vanishes when the duo teams up to smuggle cocaine into Iceland, inside plastic pellets swallowed by a young Polish mule, Sofia. But things go wrong when rule-breaking cop Lena starts closing in on them and Sofia falls sick. With the drugs yet to reach their destination and a rival gang demanding a slice of the action, time is a luxury that the brothers can't afford. Charismatic anti-hero Erik's ability to stay one step ahead is tested to the limit - how many lives is he willing to sacrifice to sustain his own?"
Films,Memoirs of an Invisible Man (1992),"Nick Halloway is accidentally made invisible during an accident. When Jenkins finds out about Nick, he set out to recruit him into the world of espionage, seeing the potential for an invisible CIA agent. When Alice Monroe falls in love with Nick, they are forced to flee the attentions of Jenkins. Nick also has the problem of living invisibly whilst trying to find a cure."
Films,Mixed Emotions Vol. 2 (2020),"An inspiring and moving series about a mixed couple whose lives are weaved together through trauma, culture, and assimilation, causing a nimiety of Mixed Emotions."
Films,The Chair (2007),"Danielle, a young psychology student, is trying to rebuild her life when she sublets a century-old Victorian house. Unknowingly, she awakens an evil specter lurking in the dark recesses of her new home. To prove to her sister, Anna, that she isn't delusional again, Danielle sets out to document the haunting with horrifying results. She unleashes the soul of Edgar Crowe, a vicious child killer, who quickly seizes control of her life. Hungry to satisfy his taste for torturing boys, Crowe uses Danielle like a pawn to resurrect his ghastly ""Panic Chair."" Now, Anna faces an impossible task - destroy Crowe without destroying her sister. The solution comes to Anna, but is it buried too deeply in the long dead past for her to reach?"
Films,Music of the Moment (2014),"Ed Nehring has been a fixture of the Iowa City music scene since the late 1980's. His journey from punk rocker to dedicated free improviser is one of self-discovery and a commitment to expressing himself freely. Ed's passion led him to transform his basement into the Scared Garden, a performance space dedicated to the exploration of improvised music. 'Music of the Moment' is a feature-length documentary photographed over a period of five years that explores this obscure and often misunderstood art form while creating unique character studies of Ed and four of his musical friends."
Films,Nerdcore Rising (2008),"Hilariously entertaining, NERDCORE RISING introduces a new wave of hip-hop to the world called ""Nerdcore"" where computer obsesses geeks bust rhymes about the hard knock life of nerdom. The gut-busting comedy follows MC Frontalot, the ""Godfather of Nerdcore"" on his first national tour where the roots of the genre, the dorky complexities of its artists, and one MC's fight for nerd stardom is revealed."
Films,The Prisoner of Corbal (1936),During the French Revolution a young woman is saved from the guillotine by an insurrectionist (Asther). Also called The Prisoner of Corbal.
Films,The Caller (2008),"France 1944: during an aerial bombardment, two boys are separated from their parents; the older one helps the younger. Jump ahead to contemporary Manhattan where chief financial officer Jimmy Stevens punishes his company's murderous practices in Third World countries by setting up its stock release to fail. He knows they'll kill him in retaliation; he asks for two weeks. By telephone, using a voice disguising device, he hires a private detective, Frank Turlotte, to watch … Jimmy. What's going on? Jimmy goes to the park where he reads a book and talks to children; he visits his aged mother. Frank observes it all. The two-week deadline approaches. What's Jimmy's game?"
Films,The Woman Who Laughed Three Times (1980),"Hyeon-shik discovers that his live-in girlfriend, Eun-suk, has two other passionate suitors; The artist, Jin-woo and In-tae, a taxi driver."
Films,The Drive (2009),"Forty-six hours after Bradley's body was returned from the war in a casket, Jack and Clara Sorrento devise a plan. Honoring their son, they make the pilgrimage to St. Louis , Missouri , to the Gateway Arch, to scatter his ashes-his last request. But there is more. A plot is conceived in the turmoil of grief to avenge the death of their boy by striking one lethal blow at the villain they both determine is the perpetrator of their greatest heartache. Two hundred and eighty-one miles from their home in White House, Tennessee , the object of their rage awaits. So as the miles melt away and Jack and Clara journey along, sanity surrenders to grief on…The Drive."
Films,The Barrow Gang (1995),The only historically accurate account about the story of Bonnie and Clyde.
Films,Ovulation (2013),"Azura is woman who isn't so young anymore and she is obsessed with becoming a mother. Driven passionately by her nagging mother and competitive sister, she is meticulously monitoring her ovulation cycle to try and conceive with her apathetic boyfriend. After months of trying, her obsession is rapidly growing worse. When she finally reaches her breaking point and finds out a hidden secret, how far will she go to become pregnant? Not everyone is conceived out of love. This is a dramatic tale of a woman's need to procreate taken to horrific levels."
Films,Living Proof (2017),"When a young man is diagnosed with a debilitating autoimmune disease with no cure, he and his father go on a journey to find answers and hope."
Films,Attack on Titan Crimson Bow and Arrow (2014),"In a dystopian world, a young man vows to eliminate the giant humanoid creatures that threatens the remnants of humanity."
Films,Riders of the Rio Grande (1943),A banker struggles to keep his bank solvent and his town from going bankrupt after the bank is robbed and all its money taken. The Three Mesquiteers ride into town and set out to help.
Films,Sketches of Myahk (2011),"This documentary records the disappearing traditional music of the Miyako Islands, about 300km southwest from the city of Naha on the Okinawa mainland."
Films,Suor Maria (1955),"Carmela becomes a nun after her father's death. She has no vocation but wants to escape from Mario a no-gooder who has set his eyes on her. Stefano, a good guy, is in love with her and is ready to wait for her."
Films,Into the Inkwell (2017),"The Inkwell is a place in Seattle Washington where a old group of friends called ""The Pammarell's"" formed a group. These young guys, from this neighborhood, where in elementary school when they all got together. Among them was Jimmy Hendrix."
